text,label,repo_name,author,timestamp,programming_language
Release v2.1.0: Added new OAuth integration & fixed minor bugs.,Dependency Update,backend-service,@dev_4154,5/01/2024 20:18,C++
Optimize the search algorithm to reduce response time by 30%.,Release Note,search-engine,@dev_4061,12/01/2024 4:21,Go
Optimize the search algorithm to reduce response time by 30%.,Testing Issue,auth-system,@dev_8184,7/01/2024 20:56,Rust
Resolved SQL injection vulnerability in login API.,Bug Fix,cache-layer,@dev_3637,3/01/2024 6:54,Python
Add support for multi-factor authentication (MFA).,Testing Issue,frontend-dashboard,@dev_3967,12/01/2024 4:18,SQL
Fix memory leak in database connection pooling.,Feature Request,cache-layer,@dev_3045,5/01/2024 0:09,Go
Unit test for new caching strategy is failing due to race conditions.,Security Fix,user-auth,@dev_6108,13/01/2024 22:18,SQL
Release v2.1.0: Added new OAuth integration & fixed minor bugs.,Code Improvement,search-engine,@dev_6059,22/01/2024 18:50,Python
Fix memory leak in database connection pooling.,Code Improvement,frontend-dashboard,@dev_8780,8/01/2024 10:17,Java
Add support for multi-factor authentication (MFA).,Release Note,cache-layer,@dev_9998,23/01/2024 3:54,Rust
Unit test for new caching strategy is failing due to race conditions.,Release Note,user-auth,@dev_5118,1/01/2024 13:36,Go
Release v2.1.0: Added new OAuth integration & fixed minor bugs.,Bug Fix,cache-layer,@dev_6524,25/01/2024 1:09,SQL
Fix memory leak in database connection pooling.,Release Note,cache-layer,@dev_5231,2/01/2024 12:44,C++
Fix memory leak in database connection pooling.,Security Fix,frontend-dashboard,@dev_7362,11/01/2024 11:01,Go
Optimize the search algorithm to reduce response time by 30%.,Dependency Update,frontend-dashboard,@dev_7278,5/01/2024 7:51,SQL
Optimize the search algorithm to reduce response time by 30%.,Code Improvement,frontend-dashboard,@dev_5935,26/01/2024 13:06,Java
Fix memory leak in database connection pooling.,Testing Issue,user-auth,@dev_5111,13/01/2024 0:32,C++
Add support for multi-factor authentication (MFA).,Code Improvement,user-auth,@dev_5486,11/01/2024 3:46,Rust
Optimize the search algorithm to reduce response time by 30%.,Feature Request,cache-layer,@dev_5871,9/01/2024 2:51,SQL
Resolved SQL injection vulnerability in login API.,Security Fix,frontend-dashboard,@dev_1671,4/01/2024 5:21,Rust
Fix memory leak in database connection pooling.,Release Note,frontend-dashboard,@dev_3356,5/01/2024 23:51,JavaScript
Optimize the search algorithm to reduce response time by 30%.,Dependency Update,user-auth,@dev_5585,3/01/2024 15:21,Python
Resolved SQL injection vulnerability in login API.,Bug Fix,frontend-dashboard,@dev_7987,6/01/2024 13:37,Go
Resolved SQL injection vulnerability in login API.,Dependency Update,auth-system,@dev_7472,12/01/2024 11:47,C++
Upgrade React from v16 to v18 to improve performance.,Release Note,user-auth,@dev_5648,11/01/2024 14:03,Java
Unit test for new caching strategy is failing due to race conditions.,Feature Request,backend-service,@dev_5880,28/01/2024 8:18,Python
Add support for multi-factor authentication (MFA).,Testing Issue,api-gateway,@dev_1814,3/01/2024 7:33,SQL
Release v2.1.0: Added new OAuth integration & fixed minor bugs.,Feature Request,frontend-dashboard,@dev_7604,21/01/2024 21:00,Rust
Fix memory leak in database connection pooling.,Feature Request,auth-system,@dev_2784,14/01/2024 0:09,C++
Release v2.1.0: Added new OAuth integration & fixed minor bugs.,Feature Request,backend-service,@dev_8750,9/01/2024 20:53,Python
Unit test for new caching strategy is failing due to race conditions.,Dependency Update,user-auth,@dev_7175,17/01/2024 22:41,Python
Unit test for new caching strategy is failing due to race conditions.,Feature Request,user-auth,@dev_1870,2/01/2024 5:15,SQL
