text,label,timestamp,username,device,likes,retweets,replies
The app crashes on Android 11 when I open settings. Anyone else facing this?,Discussion,24/01/2024 23:51,@user_9496,Web,124,17,9
"The app now loads twice as fast! Whatever you did, keep it up! 🚀",Feedback,19/01/2024 6:40,@user_5690,iPhone,57,24,22
The new API documentation is so much better! Really easy to understand.,Security Issue,11/01/2024 17:27,@user_8925,iPhone,113,31,10
How do I enable 2FA for my account? I can't find the option in settings.,Performance Issue,15/01/2024 13:28,@user_6664,iPhone,284,17,6
The new update is fantastic! The app runs so much smoother now. Great job!,Performance Issue,1/01/2024 21:09,@user_3737,Android,153,48,29
Multi-device support would be a game-changer. Any plans to implement it?,Feedback,6/01/2024 11:34,@user_4334,Android,293,8,30
Multi-account login would be a game-changer. Any plans to add this?,Feature Request,18/01/2024 4:32,@user_1543,iPhone,194,40,13
The app's battery usage is insane! It drains my phone in just a few hours.,Feedback,28/01/2024 11:02,@user_6178,Android,239,18,4
"Hey @TechCorp, will there be an update to fix the keyboard lag issue? It’s driving me crazy!",Security Issue,12/01/2024 15:52,@user_1313,Web,145,45,26
Why is the AI assistant so slow to respond? It used to be much faster.,Bug Report,27/01/2024 20:34,@user_6793,Android,128,10,30
"We need dark mode support for the mobile app! It’s 2024, why isn't this a thing yet?",Question,8/01/2024 17:35,@user_5164,Web,197,43,28
The app keeps asking me to log in every time I open it. Super annoying.,Performance Issue,2/01/2024 6:57,@user_8946,iPhone,217,37,26
Why is the app using so much battery? It’s draining 10% in just 15 minutes!,Question,23/01/2024 17:25,@user_5908,Web,20,23,12
Why is the AI assistant so slow to respond? It used to be much faster.,Feedback,29/01/2024 21:07,@user_3541,Web,132,34,20
Can someone explain how to set up a webhook for real-time notifications?,Feature Request,9/01/2024 16:43,@user_2524,Web,211,17,22
Why does the app log me out randomly? It's really annoying.,Feedback,25/01/2024 5:29,@user_5030,Web,50,33,30
I love the new offline mode! Works flawlessly even with large files. 🔥,Discussion,25/01/2024 7:57,@user_6043,iPhone,166,17,19
"Dark mode is great, but can we get an option to schedule it automatically?",Bug Report,18/01/2024 19:59,@user_1544,Android,76,5,21
Multi-account login would be a game-changer. Any plans to add this?,Question,17/01/2024 9:25,@user_7685,Web,243,6,22
Can someone explain how to use OAuth for third-party API integrations?,Bug Report,30/01/2024 19:14,@user_7765,iPhone,204,46,21
Why does the app log me out randomly? It's really annoying.,Question,27/01/2024 15:52,@user_1997,Web,30,9,10
The new AI recommendations are completely off. They used to be much better!,Performance Issue,8/01/2024 8:23,@user_8516,Web,296,32,9
Can someone explain the difference between WebSockets and long polling?,Feedback,2/01/2024 4:30,@user_7846,Web,227,29,6
The app keeps asking me to log in every time I open it. Super annoying.,Performance Issue,23/01/2024 19:09,@user_7338,Web,153,37,12
"We need dark mode support for the mobile app! It’s 2024, why isn't this a thing yet?",Security Issue,17/01/2024 7:30,@user_1651,Android,283,28,10
The app crashes every time I try to upload a photo. Anyone else having this issue?,Security Issue,29/01/2024 2:59,@user_6075,Web,97,6,23
The new AI recommendations are completely off. They used to be much better!,Question,8/01/2024 20:10,@user_3472,Web,156,26,23
Great update! The new UI is much smoother. Well done team! 🎉,Bug Report,27/01/2024 10:50,@user_9915,iPhone,23,41,5
Why does the API return a 500 error when querying large datasets? Is there a workaround?,Question,25/01/2024 6:12,@user_1884,iPhone,229,8,23
The last update completely broke Bluetooth connectivity. Devices keep disconnecting randomly!,Question,30/01/2024 5:39,@user_1473,iPhone,81,45,27
The latest update broke my notifications. I’m not receiving any alerts at all. Anyone else?,Question,28/01/2024 17:12,@user_7758,Android,243,10,26
Multi-device support would be a game-changer. Any plans to implement it?,Feedback,12/01/2024 15:52,@user_6793,Android,243,15,18
